24|	12|24	1.0
8|5	14|	1.0
14|15	12|14	1.0
15|3	14|15	1.0
-1|0	-4|	1.0
2|7	-1|2	0.5
2|7	7|2	0.5
15|7	14|15	1.0
7|0	5|7.0	1.0
7|0	3|7	0.1
0|	2|0	1.0
0|	-1|0	1.0
0|	-5|	0.0555555555556
0|	7|0	0.1
0|	12|0	0.5
-1|	2|-1	0.5
-1|	-4|	0.2
-1|	7|-1	1.0
10|11	9|	1.0
5|4	6|	0.428571428571
5|4	4|	0.428571428571
5|4	2|	0.142857142857
7|19	10|	1.0
19|	10|19	0.666666666667
19|	7|19	1.0
19|	12|	0.111111111111
19|	22|	0.333333333333
19|	23|	0.111111111111
5|22	8|5	1.0
9|	11|9	1.0
9|	8|	0.5
3|5.7.0	-1|3	0.111111111111
3|5.7.0	0|	0.888888888889
11|	10|11	1.0
11|	7|11	1.0
11|	4|	0.0714285714286
11|	14|11	0.666666666667
11|	15|11	1.0
11|	12|11	0.2
11|	2|	0.0714285714286
12|5	10|12	1.0
3|4	4|	1.0
6|7.6	11|6	1.0
19|14	23|	0.5
19|14	12|	0.5
18|	21|	1.0
10|15	3|10	1.0
12|23	15|12	1.0
2|-1	-5|	0.5
2|-1	7|2	0.5
10|	7|10	1.0
10|	15|10	0.777777777778
10|	3|10	1.0
10|	14|10	1.0
10|	9|	0.04
10|	8|	0.4
7|6	12|7	0.285714285714
7|6	4|	0.142857142857
7|6	6|7.6	1.0
7|6	8|	0.142857142857
7|0.2	3|7	1.0
12|0	10|12	0.5
12|0	0|12	0.5
14|11	19|14	0.666666666667
14|11	11|14	0.333333333333
12|24	15|12	1.0
0|12	2|0	1.0
5|7	6|	0.0526315789474
5|7	3|	0.947368421053
3|2	15|3	0.2
3|2	2|3	0.2
3|2	5|3	0.6
6|	7|6	0.142857142857
6|	11|6	1.0
10|17	14|10	1.0
10|12	7|10	0.222222222222
10|12	8|	0.777777777778
11|6	12|11	1.0
0|-5	12|0	1.0
7|3	10|	1.0
0|3.7	-5|	1.0
7|	12|7	0.25
7|	5|7	0.947368421053
7|	4|	0.0363636363636
7|	10|	0.163636363636
7|	6|	0.109090909091
7|	2|7	0.5
7|	15|7	1.0
7|	3|7	0.25
7|	9|	0.0181818181818
7|	11|7	0.5
7|	8|	0.0363636363636
3|10	7|3	1.0
14|10	17|	1.0
3|12	7|3	1.0
7|8	6|	0.285714285714
7|8	12|7	0.142857142857
7|8	5|7.8	1.0
5|3	7|5	1.0
12|7	7|12	0.75
12|7	0|12	0.25
12|	7|12	0.428571428571
12|	11|12	0.2
12|	10|12	0.777777777778
12|	3|12	1.0
12|	0|12	1.0
12|	15|12	0.5
20|	23|	0.5
20|	24|	0.5
-5|	0|-5	1.0
-5|	12|-5	1.0
-5|	7|	0.333333333333
7|2	2|7	0.75
7|2	11|7	0.25
4|	5|4	0.142857142857
4|	3|4	1.0
5|8	12|5	1.0
-1|3	7|-1	1.0
11|12	10|11	0.2
11|12	2|	0.2
11|12	12|11	0.6
0|2	2|0	0.333333333333
0|2	-1|0	0.333333333333
0|2	7|0.2	1.0
11|22	15|11	0.5
11|22	14|11	0.5
15|	14|15	1.0
15|	19|	0.466666666667
15|	18|	0.0666666666667
15|	20|	0.133333333333
15|	7|15	1.0
15|	10|15	1.0
21|	10|	1.0
2|3	4|	0.25
2|3	0|2	0.75
-4|	-5|	1.0
12|11	3|12	0.2
12|11	7|12	0.8
5|	4|	0.0769230769231
5|	8|5	1.0
5|	12|5	1.0
5|	6|	0.102564102564
5|	3|	0.461538461538
5|	2|	0.025641025641
5|	7|5	0.166666666667
7|10	3|7	1.0
7|12	12|7	0.142857142857
7|12	10|	0.428571428571
7|12	2|7	0.142857142857
7|12	15|7	0.142857142857
7|12	3|7	0.142857142857
12|-5	0|12	1.0
11|14	14|11	1.0
7|15	10|	1.0
2|0	3|2	1.0
7|-1	5|7	1.0
5|7.0	3|5.7.0	0.888888888889
15|10	19|	0.777777777778
15|10	10|15	0.111111111111
15|10	7|15	0.111111111111
14|	17|	0.333333333333
14|	11|14	1.0
14|	19|14	0.5
14|	12|14	1.0
22|	5|22	1.0
22|	7|	0.4
22|	11|22	0.5
-1|2	2|-1	1.0
11|7	7|11	0.5
11|7	14|11	0.5
12|14	11|12	1.0
11|9	4|	1.0
2|	4|	0.0625
2|	0|2	0.333333333333
2|	3|2	0.6
2|	-5|	0.0625
2|	-1|2	1.0
2|	7|2	0.25
3|5.7.8	2|3	0.25
3|5.7.8	5|3	0.75
15|12	18|	0.5
15|12	20|	0.5
7|11	11|7	1.0
7|5	5|7	0.333333333333
7|5	4|	0.166666666667
7|5	6|	0.166666666667
7|5	9|	0.166666666667
7|5	8|	0.166666666667
17|	10|17	1.0
17|	22|	0.666666666667
23|	12|23	1.0
23|	7|23	1.0
3|	4|	0.09375
3|	7|3	1.0
3|	12|3	0.666666666667
3|	15|3	1.0
3|	-1|3	1.0
3|	2|3	0.75
3|	0|	0.34375
3|	5|3	1.0
5|7.8	3|5.7.8	0.25
12|3	11|12	0.666666666667
12|3	10|12	0.333333333333
7|23	10|	1.0
10|19	14|10	0.333333333333
10|19	15|10	0.666666666667
3|7	12|3	0.5
3|7	0|3.7	1.0
3|7	2|3	0.25
15|11	20|	1.0
8|	14|	0.0714285714286
8|	7|8	0.142857142857
8|	5|8	1.0
