24|	19|24	1.0
11|19	16|	1.0
9|17	5|9	0.5
9|17	14|9	0.5
0|	16|	0.0625
0|	4|0	1.0
0|	9|0	1.0
0|	2|	0.8125
16|	14|16	0.333333333333
16|	17|	0.3125
16|	10|16	1.0
-1|	0|	1.0
7|19	19|7.19	0.875
19|7.4	0|	1.0
19|	7|19	1.0
19|	11|19	1.0
19|	12|	0.0416666666667
19|	21|	0.0416666666667
19|	0|	0.333333333333
19|	23|	0.0833333333333
19|	17|19	1.0
4|0	2|4.0	1.0
9|	14|9	1.0
9|	12|9	1.0
9|	18|	0.111111111111
9|	10|9	1.0
9|	7|9	1.0
9|	5|9	1.0
2|4	0|2	0.166666666667
2|4	1|	0.166666666667
2|4	4|2.4	1.0
2|4	-1|	0.333333333333
9|10	10|9	1.0
11|	7|11	1.0
11|	14|11	1.0
11|	16|	0.222222222222
11|	12|11	0.666666666667
12|5	14|12	1.0
-8|	-10|-8	0.375
-8|	-5|	0.428571428571
1|	2|1	1.0
17|10	16|17	1.0
19|14	23|	0.333333333333
19|14	11|19	0.666666666667
-8|-10.-8	-10|-8.-10.-8	0.75
18|	19|18	1.0
12|9	16|	1.0
-17|	-12|	1.0
10|	9|10	1.0
10|	12|10	1.0
10|	14|10	1.0
10|	17|10	1.0
4|2.4	2|4.2.4	1.0
5|4.2	4|5	1.0
14|11	12|14	1.0
2|4.5	1|	1.0
2|1	4|2.1	0.5
19|21	12|	1.0
5|9	12|5	1.0
4|5	2|4.5	1.0
10|12	9|10	1.0
14|7	12|14	1.0
-10|-8.-10.-8	-13|	0.75
-10|-8.-10.-8	-17|	0.25
13|	14|13	0.666666666667
14|23	19|14	1.0
7|9	0|	1.0
-10|-8	-8|-10.-8	1.0
-10|-8	-13|	0.375
-10|-8	-17|	0.125
7|	12|7	0.5
7|	9|7	1.0
7|	19|	0.615384615385
7|	14|7	1.0
7|	0|	0.0769230769231
14|10	7|14	1.0
9|0	5|9	1.0
12|7	10|12	0.5
12|7	4|12	0.25
12|7	14|12	0.25
10|16	14|10	1.0
12|	9|12	0.5
12|	11|	0.190476190476
12|	10|12	1.0
12|	4|12	1.0
12|	24|	0.047619047619
12|	16|	0.047619047619
12|	14|12	0.285714285714
4|12	5|	1.0
-5|	-12|	1.0
10|14	17|10	1.0
14|17	11|	1.0
14|12	16|	0.714285714286
14|12	10|14	0.285714285714
4|	7|4	0.857142857143
4|	0|	0.0384615384615
4|	5|	0.230769230769
4|	2|4	0.166666666667
19|17	21|	1.0
17|5	12|17	0.5
17|5	9|17	0.5
-10|	-13|	0.166666666667
-10|	-8|	0.777777777778
-10|	-17|	0.0555555555556
10|9	12|10	1.0
4|2.1	0|	0.5
4|2.1	2|4	0.5
12|10	14|12	1.0
9|7	7|9	1.0
0|2	16|	0.5
0|2	4|0	0.5
7|14	12|7	0.5
7|14	14|7	0.5
21|	23|	0.5
21|	19|21	1.0
12|11	9|12	0.666666666667
12|11	14|12	0.333333333333
5|	12|5	1.0
5|	4|5	1.0
5|	7|5	1.0
5|	17|5	0.5
12|17	4|12	1.0
14|16	13|	0.333333333333
14|16	7|14	0.222222222222
14|16	16|	0.333333333333
14|16	12|14	0.111111111111
-13|	-12|	1.0
19|18	17|19	1.0
14|	11|	0.1
14|	13|	0.1
14|	7|14	0.5
14|	16|	0.266666666667
14|	10|14	1.0
14|	19|14	0.666666666667
14|	12|14	0.571428571429
2|4.0	0|2	1.0
2|	0|2	0.5
2|	1|	0.0740740740741
2|	-1|	0.148148148148
2|	4|2	0.0526315789474
2|4.2.4	-1|	1.0
12|14	24|	0.142857142857
12|14	11|	0.571428571429
12|14	4|12	0.285714285714
9|12	12|9	0.5
9|12	18|	0.5
14|9	12|14	1.0
17|19	-5|	1.0
-12|	7|	0.166666666667
-12|	-10|	0.833333333333
19|7.19	7|19	0.875
19|7.19	17|19	0.125
4|2	7|4	0.368421052632
4|2	5|4.2	1.0
4|2	0|	0.0526315789474
4|2	2|4	0.473684210526
7|11	12|7	1.0
7|5	9|7	1.0
14|16.17	7|14	1.0
17|	16|17	0.5
17|	19|17	1.0
17|	12|17	1.0
17|	-5|	0.181818181818
17|	9|17	0.5
17|	14|17	1.0
23|	21|	0.333333333333
23|	14|23	1.0
14|13	11|	0.666666666667
14|13	19|14	0.333333333333
19|24	23|	1.0
16|17	14|16.17	1.0
16|17	10|16	0.5
7|4	12|7	0.142857142857
7|4	19|7.4	1.0
