-10|-19	-17|-10.-19	0.0714285714286
-10|-20	-15|	1.0
0|	-10|0	1.0
0|	-1|	0.6
-15|-5	-10|-15.-5	1.0
-15|-5	-8|-15	0.5
-1|	-10|-1	1.0
-1|	-12|	0.166666666667
-1|	-17|	0.333333333333
-5|-12.-10	-10|-5	1.0
-17|-10.-15.-19	-13|-17	1.0
-12|-5.-12.-5.-10	-5|-12	0.5
-12|-5.-12.-5.-10	-3|-12.-5.-12.-5.-10	1.0
-12|-18	-10|-12	1.0
-12|-3	-7|-12	0.0714285714286
-12|-3	-3|-12.-3	0.666666666667
-12|-3	-8|-12	0.214285714286
-12|-3	-5|-12.-3	0.285714285714
-8|-7	-17|-8	0.375
-8|-7	-10|-8	0.375
-8|-7	-12|	0.25
-3|-10	-11|	0.25
-3|-10	-17|	0.5
-3|-10	-18|	0.25
-10|-1	0|	1.0
-10|-5	-5|-10	0.727272727273
-10|-5	-3|-10	0.272727272727
-12|-5.-13.-10	-3|	1.0
-8|-12	-5|-8	1.0
-8|	-10|-8	1.0
-8|	-7|-8	1.0
-8|	-15|-8	1.0
-8|	-17|-8	0.5
-8|	-5|-8	0.133333333333
-8|	-19|	0.025
-8|	-12|	0.125
-8|	-18|	0.125
-10|-13	-17|-10.-13	1.0
-10|-13	-12|-10	0.5
-5|-12.-5.-10	-12|-5.-12.-5.-10	0.5
-7|-13	-12|-7.-13	1.0
-7|-13	-17|-7	0.4
-5|-13.-5.-12	-12|-5.-13.-5.-12	1.0
-12|-5.-8	-7|-12	0.272727272727
-12|-5.-8	-8|-12	0.636363636364
-12|-5.-8	-17|-12	0.0909090909091
-12|-5.-10	-5|-12.-5.-10	1.0
-12|-7.-13	-8|-12	1.0
-12|-3.-7	-7|-12	0.25
-12|-3.-7	-8|-12	0.75
-5|-12.-5.-12.-5.-13	-19|	1.0
-12|-5.-12.-3	-5|-12.-5.-12.-3	1.0
-20|	-10|-20	1.0
-20|	-12|-20	1.0
-17|	-10|-17	0.0625
-17|	-13|-17	0.285714285714
-17|	-8|-17	0.142857142857
-17|	-7|	0.313432835821
-5|-13.-10	-12|-5.-13.-10	1.0
-12|-5.-13.-5.-12	-5|-12.-5.-13.-5.-12	1.0
-10|-15	-19|	0.125
-10|-15	-17|	0.375
-10|-15	-18|	0.4375
-10|-15	-15|	0.0625
-5|-8	-19|-5.-8	1.0
-5|-8	-17|-5	0.0666666666667
-5|-8	-18|-5	0.0666666666667
-5|-8	-12|-5.-8	0.272727272727
-3|	-17|	0.0714285714286
-3|	-10|-3	0.333333333333
-3|	-12|-3	0.5
-3|	-11|	0.0357142857143
-3|	-20|	0.0714285714286
-3|	-19|	0.0714285714286
-3|	-18|	0.0357142857143
-10|-15.-19	-19|	0.333333333333
-10|-15.-19	-17|-10.-15.-19	1.0
-16|	-8|-16	1.0
-12|-5.-12.-5.-13	-5|-12.-5.-12.-5.-13	1.0
-7|-12	-3|-7	1.0
-5|-12.-5.-12.-3	-7|-5	1.0
-7|-17.-8	-17|-7	1.0
-10|-12	-17|-10.-12	1.0
-10|-12	-18|	0.5
-17|-10.-18	-10|-17	1.0
-19|	-10|-19	1.0
-19|	-15|-19	1.0
-13|-5	-5|-13	1.0
-10|-8	-12|-10	1.0
-10|-5.-15	-3|-10	1.0
-17|-10.-12	-13|-17	1.0
-11|	-3|-11	1.0
-5|-10	-13|-5	0.6
-5|-10	-12|-5.-10	1.0
-15|-8	-8|-15	1.0
-3|-11	-10|-3	1.0
-5|	-10|-5	0.727272727273
-5|	-18|-5	1.0
-5|	-20|	0.00943396226415
-5|	-7|-5	1.0
-5|	-17|-5	0.25
-5|	-15|-5	0.5
-5|	-19|	0.0943396226415
-5|	-12|	0.622641509434
-5|	-13|-5	1.0
-17|-12	-7|	0.75
-17|-12	-8|-17	0.25
-18|	-12|-18	1.0
-18|	-10|-18	0.153846153846
-5|-15	-10|-5.-15	1.0
-8|-15	-19|	0.166666666667
-8|-15	-18|	0.833333333333
-17|-7	-7|	0.6
-17|-7	-13|-17	0.4
-17|-10.-13	-13|-17	1.0
-19|-5.-8	-15|-19	1.0
-10|	-13|-10	1.0
-10|	-12|-10	0.285714285714
-10|	-17|	0.419047619048
-10|	-16|	0.0380952380952
-10|	-3|-10	0.25
-10|	0|	0.047619047619
-10|	-15|	0.152380952381
-10|	-5|-10	0.6
-10|	-19|	0.0190476190476
-10|	-18|	0.0761904761905
-10|	-1|	0.0285714285714
-10|-15.-5	-15|	1.0
-3|-7	-12|-3.-7	0.25
-12|-20	-19|	1.0
-13|-5.-12	-5|-13.-5.-12	1.0
-17|-5	-13|-17	0.25
-17|-5	-8|-17	0.75
-12|-5.-13	-5|-12.-5.-13	0.75
-12|-5.-13	-3|	0.2
-18|-5	-12|-18	1.0
-3|-12.-5.-12.-5.-10	-20|	1.0
-7|-8	-5|	1.0
-10|-18	-12|-10	0.153846153846
-10|-18	-17|-10.-18	1.0
-5|-12.-5.-13.-5.-12	-15|-5	1.0
-10|-3	-5|-10	0.333333333333
-10|-3	-3|-10	0.166666666667
-10|-3	-1|	0.5
-8|-17	-17|-8	0.428571428571
-8|-17	-7|-8	0.142857142857
-8|-17	-12|	0.428571428571
-13|	-5|-13	1.0
-13|	-10|-13	0.5
-13|	-7|-13	0.6
-5|-12	-10|-5	0.121212121212
-5|-12	-20|	0.0151515151515
-5|-12	-13|-5.-12	1.0
-5|-12	-17|-5	0.0454545454545
-5|-12	-15|-5	0.030303030303
-5|-12	-19|	0.121212121212
-5|-12	-12|	0.590909090909
-5|-12	-7|-5	0.0454545454545
-5|-13	-12|-5.-13	0.8
-12|-10	-5|-12.-10	1.0
-12|-10	-3|	0.142857142857
-12|-10	-8|-12	0.142857142857
