-19|-24	-9|-19	1.0
-9|	-7|-9	1.0
-9|	0|-9	1.0
-9|	-24|	0.0227272727273
-9|	-36|	0.227272727273
-9|	-21|-9	1.0
-9|	-34|	0.0454545454545
-9|	-31|-9	1.0
-9|	-38|-9	1.0
-9|	-33|-9	1.0
-10|-19	-38|	0.25
-10|-19	-36|	0.25
-10|-19	-4|-10	0.5
-10|-16.-26.-31.-9	-31|-10	1.0
-19|-22	-7|-19	1.0
-31|-9	-26|-31.-9	1.0
-24|-21	-21|	0.923076923077
-24|-21	-26|-24.-21	1.0
-24|-21	-25|	0.0307692307692
-24|-7	-9|-24	1.0
-1|	-17|-1	1.0
-26|-27	-24|-26	0.5
-26|-27	-21|-26	0.5
-26|-5	2|	1.0
-27|-29	-29|	1.0
-22|-29	-13|	1.0
-27|	-29|	0.25
-27|	-26|-27	0.5
-27|	-18|	0.25
-33|	-21|-33	1.0
-33|	-26|-33	1.0
-33|	-9|-33	1.0
-33|	-24|-33	1.0
-31|-8	-24|-31	1.0
-14|	-4|-14	1.0
-14|	-8|	0.666666666667
-5|-2	-26|-5	1.0
-28|-5	-19|-28	1.0
-12|-19.-31	-4|-12	1.0
-8|	-31|-8	1.0
-26|-25	-33|-26	1.0
-9|-24	-21|-9	1.0
-4|-10	-38|	1.0
-12|-16	-6|	1.0
-16|-26.-31.-9	-10|-16.-26.-31.-9	1.0
-17|-1	-27|-17	1.0
0|	-26|0	1.0
0|	-2|0	1.0
-14|-19	-4|-14	1.0
-29|-28.-29.-30	-33|-29	1.0
-17|	-12|-17	1.0
-17|	-9|-17	0.173913043478
-17|	-27|-17	1.0
-9|-10	-24|	1.0
-26|0	-19|-26	1.0
-28|-7	-16|-28	0.333333333333
-28|-7	-19|-28	0.666666666667
-28|	-30|	0.0833333333333
-28|	-16|-28	1.0
-28|	-29|	0.75
-28|	-19|-28	1.0
-12|-17	-5|-12	1.0
-19|-28	-12|-19	1.0
-17|-29	-12|-17	1.0
-28|-29.-30	-29|-28.-29.-30	1.0
-24|-26	-27|-24	0.1
-24|-26	-26|-24	0.9
-3|	-1|	1.0
-33|-29	-24|-33	1.0
-26|-24	-24|-26	0.923076923077
-26|-24	-33|-26	0.0769230769231
-29|-6	-22|-29	1.0
-7|-16	-34|	0.333333333333
-7|-16	-28|-7	0.666666666667
-21|-9	-5|-21	1.0
-21|	-30|	0.0512820512821
-21|	-5|-21	1.0
-21|	-29|	0.0128205128205
-21|	-24|-21	0.0307692307692
-21|	-12|-21	1.0
-33|-5	-21|-33	1.0
-31|	-26|-31	1.0
-31|	-19|-31	0.5
-31|	-24|-31	1.0
-24|-33	-21|	1.0
-29|-4	-17|-29	1.0
-7|-12	-27|-7	0.666666666667
-7|-12	-28|-7	0.333333333333
-26|-24.-21	-33|-26	1.0
-16|	-7|-16	0.333333333333
-16|	-10|	0.714285714286
-16|	-12|-16	1.0
-21|-26	-30|	1.0
-26|-31.-9	-16|-26.-31.-9	1.0
-29|	-27|-29	1.0
-29|	-33|-29	1.0
-29|	-28|	0.714285714286
-29|	-22|-29	1.0
-29|	-17|-29	1.0
-29|	-3|	0.0714285714286
-9|-17	-36|	0.173913043478
-9|-17	-31|-9	0.173913043478
-9|-17	-38|-9	0.0869565217391
-9|-17	-33|-9	0.565217391304
-33|-9	-26|-33	1.0
-26|-38.-9	-19|-26	1.0
-29|-5	-3|	1.0
-21|-33	-12|-21	1.0
-4|-12	-29|-4	1.0
-5|-21	-29|-5	1.0
-5|-7	-4|-5	1.0
-22|	-13|	0.333333333333
-22|	-16|-22	1.0
-22|	-19|-22	1.0
-30|	-29|-30	0.5
-16|-28	-12|-16	1.0
-5|	-4|-5	1.0
-5|	-29|-5	1.0
-5|	-26|-5	1.0
-5|	-28|-5	1.0
-5|	-31|-5	1.0
-5|	-33|-5	1.0
-38|	-26|-38	0.25
-4|-14	-33|	1.0
-29|-30	-28|-29.-30	1.0
-29|-30	-27|-29	0.5
-31|-10	-26|-31	1.0
-18|	-9|-18	0.5
-19|	-12|-19	0.25
-19|	-7|-19	1.0
-19|	-10|-19	0.5
-19|	-14|-19	1.0
-19|	-9|-19	1.0
-19|-26	-10|-19	1.0
-10|	-9|-10	1.0
-10|	-36|	0.0714285714286
-10|	-4|-10	1.0
-10|	-33|	0.25
-10|	-38|	0.357142857143
-10|	-31|-10	1.0
-16|-26	-10|	1.0
-9|-33	-7|-9	1.0
-9|-18	0|-9	0.5
-9|-18	-34|	0.25
-9|-18	-36|	0.25
-7|-9	-5|-7	1.0
-12|-19	-7|-12	0.75
-12|-19	-4|-12	0.25
-26|-38	-16|-26	0.75
-26|-38	-19|-26	0.25
-27|-24	-26|-27	1.0
-12|-21	-5|-12	1.0
-27|-17	-26|-27	1.0
-4|	-29|-4	1.0
-4|	-33|	0.166666666667
-4|	-2|-4	1.0
-4|	-38|	0.333333333333
-31|-5	-19|-31	1.0
-4|-5	-2|-4	1.0
0|2	-2|0	1.0
0|-9	-26|0	1.0
-33|-7	-21|-33	1.0
-16|-24	-7|-16	1.0
-24|	-14|	0.0307692307692
-24|	-19|-24	1.0
-24|	-16|-24	1.0
-24|	-27|-24	1.0
-24|	-26|-24	0.923076923077
-24|	-25|	0.0153846153846
-24|	-9|-24	1.0
-24|	-21|	0.5
-24|	-18|	0.0307692307692
-33|-26	-26|-33	0.2
-33|-26	-9|-33	0.8
-36|	-24|-36	0.333333333333
-2|	-5|-2	1.0
-2|	-7|-2	1.0
-13|	-5|-13	1.0
-27|-7	-18|	1.0
-7|-2	-24|-7	1.0
-7|-19	-33|-7	1.0
-5|-12	-28|-5	0.333333333333
-5|-12	-31|-5	0.333333333333
-5|-12	-33|-5	0.333333333333
-2|0	-7|-2	1.0
-5|-13	-31|-5	1.0
-7|	-24|-7	1.0
-7|	-33|-7	1.0
-7|	-28|-7	0.666666666667
-7|	-5|-7	1.0
-7|	-34|	0.0909090909091
-7|	-27|-7	1.0
-38|-9	-26|-38.-9	1.0
2|	0|2	1.0
-9|-19	-36|	1.0
-16|-22	-7|-16	1.0
-25|	-26|-25	1.0
-12|	-7|-12	0.666666666667
-12|	-5|-12	0.333333333333
-12|	-4|-12	1.0
-12|	-6|	0.125
-24|-36	-19|-24	0.333333333333
-24|-36	-14|	0.333333333333
-24|-36	-18|	0.333333333333
-26|-31	-16|-26	1.0
-6|	-29|-6	1.0
-19|-31	-12|-19.-31	1.0
-19|-31	-14|-19	0.5
-24|-31	-16|-24	1.0
-26|	-24|-26	0.9
-26|	-17|	0.221153846154
-26|	-21|-26	1.0
-26|	-33|-26	0.2
-26|	-19|-26	1.0
-26|	-16|-26	1.0
-26|	2|	0.0384615384615
-34|	-22|	1.0
-2|-4	-5|-2	1.0
-26|-33	-17|	1.0
