-1|0	0|-1.0	1.0
2|7	7|2	1.0
7|0	4|7	1.0
0|	2|0	0.25
0|	-8|0	0.4
0|	12|	0.0215053763441
0|	-1|0	1.0
0|	4|0	0.2
0|	9|0	1.0
0|	-3|0	1.0
0|	7|0	1.0
0|	-5|0	1.0
-1|	2|-1	0.5
-1|	7|-1	1.0
-1|	0|-1	0.5
-1|	-8|-1	0.25
-1|	-4|	0.0975609756098
-1|	-5|-1	1.0
5|4	0|5	0.333333333333
5|4	7|5	0.666666666667
-1|7.6	-5|-1	1.0
-1|-8	-4|	1.0
9|11	0|9.11	1.0
4|0	-3|4	0.8
4|0	5|4	0.2
9|	0|9	0.6
9|	12|9	1.0
9|	5|9	1.0
9|	4|9	1.0
11|	9|11	1.0
12|5	9|12	1.0
0|7	12|	0.0434782608696
0|7	9|0	0.0434782608696
0|7	-8|0.7	1.0
0|7	7|0	0.826086956522
0|7	-5|0	0.0434782608696
1|	4|1	0.375
-6|-7	-5|-6	1.0
-5|4	4|-5	1.0
2|-5	-2|	0.285714285714
2|-5	-1|2	0.714285714286
-7|2.-1	2|-7.2.-1	1.0
4|9	5|4	1.0
-3|-5	-8|-3	1.0
12|9	5|12	1.0
0|4	4|0	1.0
2|-3.2.-6	-5|2	0.25
2|-3.2.-6	-6|	0.75
7|2	-1|7	0.666666666667
7|2	0|7	0.333333333333
-8|0	0|-8	0.4
-8|0	-7|-8	0.2
-8|0	-1|-8	0.4
7|6	-1|7.6	1.0
-8|-1	0|-8	0.25
-8|-1	-1|-8	0.5
-8|-1	12|-8	0.25
4|-5	1|	1.0
-6|-5	-5|-6	1.0
-5|-8	-13|	0.2
-5|-8	-12|	0.7
-5|-8	-7|-5	0.1
5|9	9|5	1.0
5|7	6|	1.0
-3|	0|-3	1.0
-3|	-8|-3	1.0
-3|	2|	0.551724137931
-3|	4|-3	0.5
6|	7|6	1.0
2|-5.2.-2	-2|	1.0
-8|0.7	-7|-8	1.0
0|-1.0	4|0.-1	1.0
4|7	7|4	1.0
2|-6	-3|2.-6	1.0
4|1	-3|4	0.375
4|1	-7|	0.25
4|1	-5|4	0.375
-3|2	2|	1.0
0|-1	2|0	0.5
0|-1	4|0.-1	1.0
0|-1	7|0	0.25
0|9.11	2|0	1.0
-1|7	7|-1	0.923076923077
-1|7	-5|-1	0.0769230769231
7|	5|7	1.0
7|	9|7	1.0
7|	-1|7	0.0769230769231
7|	0|7	0.0434782608696
7|	2|7	1.0
7|	4|7	1.0
9|5	0|9	1.0
-2|	2|-2	1.0
-1|2.-8	2|-1.2.-8	1.0
-8|-5	-5|-8	1.0
-5|-7	-3|-5	0.5
-5|-7	-12|	0.5
9|0	5|9	1.0
-3|0	0|-3	1.0
-5|-10	-13|	0.5
-5|-10	-12|	0.5
2|-1.2.-8	-8|2	1.0
2|-8	-1|2.-8	1.0
0|-3	-8|0	1.0
12|	9|12	1.0
12|	11|	0.142857142857
12|	5|12	0.333333333333
12|	14|	0.142857142857
-5|	-6|-5	1.0
-5|	-3|-5	1.0
-5|	-12|	0.190476190476
-5|	-8|-5	1.0
-5|	-7|-5	1.0
-5|	-1|-5	1.0
-5|	4|-5	1.0
-5|	7|-5	1.0
-5|	-10|	0.0761904761905
-5|	-13|	0.0761904761905
-5|	0|	0.00952380952381
-5|	2|-5	0.714285714286
2|-1	-8|2	0.125
2|-1	-5|2	0.5
2|-1	-6|	0.125
2|-1	-12|	0.0625
2|-1	-7|2.-1	1.0
0|5	2|0	0.5
0|5	-1|0	0.5
2|-2	-5|2.-2	0.75
4|	5|4	0.333333333333
4|	7|4	0.772727272727
4|	-1|4	1.0
4|	1|	0.156862745098
4|	0|4	1.0
4|	-7|	0.0392156862745
4|	-3|4	1.0
4|	-5|4	1.0
2|-1.2.-7	-12|	0.25
2|-1.2.-7	-7|2.-1	0.75
-5|2	7|-5	0.0666666666667
-5|2	4|-5	0.0666666666667
-5|2	0|	0.0333333333333
-5|2	2|-5	0.833333333333
5|12	0|5	0.333333333333
5|12	12|5	0.666666666667
-10|	-5|-10	0.5
-1|-5	0|-1	1.0
0|-8	-3|0	1.0
9|7	4|9	1.0
0|9	2|0	0.2
0|9	9|0	0.6
0|9	7|0	0.2
4|0.-1	5|4	1.0
-3|2.-6	2|-3.2.-6	0.25
-4|	-1|-4	1.0
5|	12|5	1.0
5|	9|5	1.0
5|	6|	0.0909090909091
5|	0|5	0.5
5|	7|5	0.5
0|7.5	-8|0.7	1.0
-7|-8	-5|-7	1.0
-5|-6	-1|-5	1.0
-13|	-5|-13	1.0
4|-3	0|4	0.5
4|-3	1|	0.5
-5|-1	2|-5	1.0
2|0	-5|2	0.25
2|0	4|2	0.75
7|-1	2|7	1.0
-5|-12	-8|-5	0.952380952381
-5|-12	2|-5	0.047619047619
-5|-13	-10|	1.0
14|	12|14	1.0
-7|	-6|-7	1.0
-7|	-5|-7	0.5
-7|	2|-7	0.333333333333
-5|0	-6|-5	1.0
2|	-3|2	1.0
2|	-8|2	0.333333333333
2|	-2|	0.0454545454545
2|	-12|	0.0113636363636
2|	-5|2	0.0333333333333
2|	-1|2	1.0
2|	7|2	0.333333333333
2|	-7|	0.113636363636
2|	-6|	0.0909090909091
2|	4|2	0.333333333333
12|14	11|	1.0
9|12	12|9	1.0
-1|2	2|-1	1.0
7|-5	0|7	1.0
2|-3.2.-7	-7|	0.875
2|-3.2.-7	-8|2	0.125
-12|	-5|-12	0.047619047619
-8|	0|-8	1.0
-8|	-7|-8	1.0
-8|	2|-8	1.0
-8|	-1|-8	1.0
-8|	12|-8	1.0
-8|	-5|-8	0.2
4|2	-1|4	0.333333333333
4|2	-3|4	0.333333333333
4|2	5|4	0.333333333333
7|5	0|7.5	1.0
7|5	9|7	0.5
-1|2.-7	2|-1.2.-7	0.75
-1|-4	-8|-1	1.0
-8|-3	-7|-8	1.0
-3|2.-7	2|-3.2.-7	0.875
-6|	-5|-6	1.0
-6|	2|-6	1.0
-1|4	0|-1	1.0
-8|2	0|-8	0.333333333333
-8|2	2|-8	0.666666666667
7|4	5|7	0.0454545454545
7|4	-1|7	0.181818181818
7|4	0|7	0.772727272727
2|-7.2.-1	-1|2.-7	1.0
2|-7	-3|2.-7	1.0
2|-7	-1|2.-7	1.0
-5|2.-2	4|-5	0.25
-5|2.-2	2|-5.2.-2	1.0
-3|4	4|-3	1.0
12|-8	14|	1.0
-7|-5	-6|-7	1.0
