9 7 4 => -5 0.5
9 7 4 => 5 0.5
24 => 12 0.0263157894737
24 => 20 0.0789473684211
24 => 21 0.157894736842
24 => 22 0.0789473684211
24 => 16 0.0526315789474
24 => 19 0.105263157895
24 => 18 0.0789473684211
24 => 23 0.315789473684
24 => 1 0.0263157894737
24 => 17 0.0263157894737
24 => 7 0.0263157894737
24 => -2 0.0263157894737
15 14 => 0 0.25
15 14 => 12 0.5
15 14 => 15 0.25
14 11 14 12 => 14 1.0
22 21 => 19 0.333333333333
22 21 => 23 0.333333333333
22 21 => 16 0.333333333333
4 5 => 0 0.0666666666667
4 5 => 3 0.0666666666667
4 5 => 2 0.266666666667
4 5 => 4 0.2
4 5 => 7 0.333333333333
4 5 => 9 0.0666666666667
11 9 => 11 0.242424242424
11 9 => 12 0.0606060606061
11 9 => 15 0.030303030303
11 9 => 21 0.030303030303
11 9 => 5 0.030303030303
11 9 => 7 0.484848484848
11 9 => 6 0.0606060606061
11 9 => 8 0.0606060606061
21 17 => 24 0.333333333333
21 17 => 21 0.666666666667
7 11 14 => 11 1.0
9 => 11 0.163265306122
9 => 10 0.030612244898
9 => 12 0.102040816327
9 => 15 0.0102040816327
9 => 21 0.0102040816327
9 => 17 0.030612244898
9 => -5 0.0102040816327
9 => 0 0.0102040816327
9 => 2 0.030612244898
9 => 5 0.0510204081633
9 => 4 0.0102040816327
9 => 7 0.377551020408
9 => 6 0.0408163265306
9 => 8 0.0408163265306
9 => 14 0.0816326530612
2 5 7 5 => 9 1.0
16 12 => 10 0.111111111111
16 12 => 17 0.111111111111
16 12 => 16 0.222222222222
16 12 => 19 0.222222222222
16 12 => 7 0.111111111111
16 12 => 9 0.222222222222
-1 -3 => -5 1.0
11 7 6 => 12 1.0
7 0 => 11 0.25
7 0 => 10 0.25
7 0 => 7 0.5
6 5 => 2 1.0
12 16 => 11 0.222222222222
12 16 => 10 0.111111111111
12 16 => 12 0.333333333333
12 16 => 14 0.111111111111
12 16 => 17 0.222222222222
0 11 => 9 1.0
11 14 12 11 9 => 15 1.0
24 17 => 24 1.0
4 0 => -5 0.333333333333
4 0 => 2 0.333333333333
4 0 => 7 0.333333333333
19 14 19 => 16 1.0
5 9 12 => 17 1.0
14 2 => 7 1.0
5 14 => 11 1.0
9 11 => 9 0.5625
9 11 => 13 0.0625
9 11 => 12 0.375
4 7 5 7 => 2 1.0
21 19 => 24 0.111111111111
21 19 => 18 0.166666666667
21 19 => 21 0.333333333333
21 19 => 17 0.333333333333
21 19 => 16 0.0555555555556
7 5 => 3 0.04
7 5 => -7 0.04
7 5 => -1 0.04
7 5 => 4 0.48
7 5 => 7 0.36
7 5 => 9 0.04
2 3 => 7 1.0
-5 14 => 16 1.0
5 4 => 19 0.0588235294118
5 4 => 0 0.0588235294118
5 4 => 2 0.470588235294
5 4 => 5 0.294117647059
5 4 => 7 0.117647058824
17 14 11 => 9 0.5
17 14 11 => 7 0.5
18 16 14 => 12 0.875
18 16 14 => 21 0.125
11 16 12 => 17 0.333333333333
11 16 12 => 16 0.666666666667
7 4 => 11 0.0909090909091
7 4 => 12 0.0909090909091
7 4 => -5 0.0909090909091
7 4 => 0 0.0909090909091
7 4 => 5 0.181818181818
7 4 => 7 0.272727272727
7 4 => 6 0.181818181818
3 7 => 19 1.0
12 11 7 => 0 0.5
12 11 7 => 3 0.5
-3 2 => 5 1.0
9 7 => 11 0.027027027027
9 7 => 10 0.027027027027
9 7 => 12 0.0810810810811
9 7 => 14 0.027027027027
9 7 => 5 0.351351351351
9 7 => 4 0.0540540540541
9 7 => 6 0.108108108108
9 7 => 9 0.27027027027
9 7 => 8 0.027027027027
9 7 => 21 0.027027027027
2 5 => 9 0.25
2 5 => 4 0.25
2 5 => 7 0.25
2 5 => 6 0.25
5 6 => 7 1.0
6 7 5 => 3 1.0
-2 => 0 0.666666666667
-2 => 2 0.166666666667
-2 => -3 0.166666666667
19 17 19 => 14 0.75
19 17 19 => 17 0.25
12 11 14 => 9 0.2
12 11 14 => 19 0.4
12 11 14 => 12 0.4
19 7 => 14 1.0
1 4 => 7 1.0
5 14 11 => 16 1.0
20 21 23 => 25 1.0
12 => 11 0.389380530973
12 => 10 0.0619469026549
12 => 14 0.150442477876
12 => 17 0.0530973451327
12 => 16 0.0796460176991
12 => 19 0.0442477876106
12 => 18 0.0265486725664
12 => 23 0.00884955752212
12 => 2 0.00884955752212
12 => 5 0.00884955752212
12 => 7 0.0619469026549
12 => 6 0.00884955752212
12 => 9 0.0973451327434
22 24 => 20 0.5
22 24 => 22 0.5
12 14 16 => 13 0.166666666667
12 14 16 => 14 0.166666666667
12 14 16 => 17 0.666666666667
20 => 24 0.166666666667
20 => 14 0.0833333333333
20 => 23 0.0833333333333
20 => 19 0.0833333333333
20 => 18 0.0833333333333
20 => 21 0.5
0 7 4 => 0 1.0
-5 => 7 0.0588235294118
-5 => 19 0.0588235294118
-5 => 0 0.117647058824
-5 => -7 0.176470588235
-5 => -6 0.176470588235
-5 => 5 0.0588235294118
-5 => 4 0.0588235294118
-5 => -3 0.176470588235
-5 => 14 0.117647058824
19 16 12 => 10 0.5
19 16 12 => 7 0.5
2 7 => 11 0.125
2 7 => 10 0.125
2 7 => -5 0.125
2 7 => 2 0.125
2 7 => 4 0.5
3 4 => 2 0.333333333333
3 4 => 12 0.333333333333
3 4 => 5 0.333333333333
16 12 9 => 8 0.5
16 12 9 => 7 0.5
17 19 24 => 19 1.0
15 16 => 7 1.0
20 14 => 15 1.0
2 9 => 10 0.5
2 9 => 5 0.5
11 12 => 11 0.3
11 12 => 10 0.1
11 12 => 14 0.4
11 12 => 16 0.05
11 12 => 2 0.05
11 12 => 7 0.05
11 12 => 9 0.05
4 8 => 11 1.0
16 24 => 18 0.5
16 24 => 17 0.25
16 24 => 22 0.25
9 -5 => -3 1.0
11 9 7 => 11 0.0625
11 9 7 => 14 0.0625
11 9 7 => 5 0.3125
11 9 7 => 6 0.1875
11 9 7 => 9 0.3125
11 9 7 => 8 0.0625
11 14 12 11 => 9 0.5
11 14 12 11 => 12 0.5
-1 -5 => 5 1.0
0 2 => 19 0.1
0 2 => 0 0.4
0 2 => 4 0.4
0 2 => 7 0.1
-1 7 => 0 1.0
12 18 => 9 0.333333333333
12 18 => 21 0.666666666667
24 21 => 24 0.5
24 21 => 18 0.333333333333
24 21 => 19 0.166666666667
-7 => -5 0.5
-7 => -3 0.5
7 5 4 => 19 0.0833333333333
7 5 4 => 2 0.666666666667
7 5 4 => 5 0.0833333333333
7 5 4 => 7 0.166666666667
14 12 => 11 0.634146341463
14 12 => 10 0.0243902439024
14 12 => 14 0.170731707317
14 12 => 17 0.0243902439024
14 12 => 16 0.0975609756098
14 12 => 9 0.0487804878049
26 23 => 19 1.0
14 11 14 => 12 0.666666666667
14 11 14 => 16 0.333333333333
4 5 4 => 5 1.0
19 17 => 19 0.210526315789
19 17 => 15 0.0526315789474
19 17 => 21 0.0526315789474
19 17 => 16 0.684210526316
2 10 => 12 1.0
