-20|7.-20.-23.7.-20.7.-5	7|-20.7.-20.-23.7.-20.7.-5	1.0
-24|	-26|	0.1
-24|	7|-24	0.8
-24|	-5|	0.25
-24|	-13|	0.4
-23|7.-20.7.-5	-20|-23.7.-20.7.-5	1.0
7|-20.7.-20.-23.7.-20.7.-5	-13|	1.0
-13|-26	-20|	1.0
-5|-13	-13|-5	1.0
-5|	7|-5	0.166666666667
-5|	-13|-5	0.625
-5|	-24|-5	1.0
-24|-26	-26|	0.5
-24|-26	-13|	0.5
7|-13	-13|	0.0384615384615
7|-13	-5|	0.0769230769231
7|-13	-20|7	0.884615384615
-23|7.-24	-5|	1.0
-20|7.-20.7.-20.7.-20.7	7|-20.7.-20.7.-20.7.-20.7	0.1
7|-20.7.-20.7	-23|	0.528301886792
7|-20.7.-20.7	-5|	0.0125786163522
7|-20.7.-20.7	-20|7.-20.7.-20.7	1.0
7|-20.7.-20.7.-20.7	-23|	0.849315068493
7|-20.7.-20.7.-20.7	-20|7.-20.7.-20.7.-20.7	1.0
7|-20.7.-20.7.-20.7	-5|	0.013698630137
7|-20.7.-5	-13|	0.0714285714286
7|-20.7.-5	-20|7.-20.7	0.571428571429
7|-20.7.-5	-23|7.-20.7.-5	1.0
7|-5	-13|	0.166666666667
7|-5	-20|7.-5	1.0
7|-5	-23|7.-5	1.0
-20|7.-20.7.-20.7	7|-20.7.-20.7.-20.7	0.013698630137
7|-20.-23.7.-20.7.-5	-20|7.-20.-23.7.-20.7.-5	1.0
7|-19	-21|	0.666666666667
7|-19	-24|7	0.333333333333
-21|	-13|	0.5
-21|	-20|	0.5
-20|7.-20.7	7|-20.7.-20.7	0.0125786163522
-23|	-5|	0.04
-23|	-19|	0.02
-23|	-20|	0.94
-20|-23.7.-5	-24|-20	1.0
-20|-23.7.-20.7.-5	7|-20.-23.7.-20.7.-5	1.0
-20|7.-5	7|-20.7.-5	0.0714285714286
-20|	-26|	0.00271739130435
-20|	7|	0.986413043478
-20|	-19|	0.00271739130435
-20|	-24|-20	1.0
-23|7.-5	-20|-23.7.-5	1.0
-24|-13	-26|	1.0
-19|	7|-19	0.333333333333
-13|-5	7|-13	0.25
-13|-5	-5|-13	0.625
-13|-5	-24|-13	0.125
7|-20.7.-20.7.-20.7.-20.7	-20|7.-20.7.-20.7.-20.7	0.9
7|-20.7.-20.7.-20.7.-20.7	-5|	0.1
7|	-23|	0.240963855422
7|	-20|7	1.0
7|	-5|	0.0289156626506
7|	-24|7	0.416666666667
7|	-13|	0.0433734939759
7|	-21|	0.00481927710843
7|-20.7	-23|	0.361623616236
7|-20.7	-13|	0.029520295203
7|-20.7	-20|7.-20.7	1.0
7|-20.7	-5|	0.0221402214022
-20|7	7|-20.7	0.0221402214022
-24|-5	7|-24	1.0
-26|	-24|-26	0.5
-26|	-13|-26	1.0
-24|7	-13|	0.583333333333
-24|7	-5|	0.416666666667
7|-24	-23|7.-24	1.0
7|-24	-24|7	0.8
-13|	-5|-13	1.0
-13|	-20|	0.0571428571429
-13|	7|-13	0.0769230769231
-13|	-24|-13	1.0
-24|-20	7|-24	1.0
