-34|-32.-29	-36|-34.-32.-29	0.333333333333
-36|-29	-34|-36.-29	0.666666666667
-36|-29	-24|	0.0909090909091
-36|-29	-29|-36	0.0909090909091
-27|-26	-29|-27.-26	1.0
-32|-29	-34|-32.-29	1.0
-32|-29	-31|	0.4
-29|-31.-29	-34|	0.5
-29|-31.-29	-27|-29.-31	0.5
-34|-36.-29	-36|-34	0.666666666667
-34|-36.-29	-27|	0.333333333333
-36|-29.-27	-29|-36	0.5
-36|-29.-27	-24|	0.5
-29|-31	-36|-29	0.75
-29|-31	-27|-29.-31	1.0
-29|-31	-31|-29	0.0833333333333
-29|-31	-34|	0.0833333333333
-29|-27	-36|-29.-27	0.5
-29|-27	-32|-29	0.555555555556
-29|-27	-31|-29	0.222222222222
-29|-32	-27|	1.0
-29|-27.-26	-31|-29	1.0
-27|	-34|-27	1.0
-27|	-29|-27	0.222222222222
-27|	-26|	0.0588235294118
-27|	-32|-27	0.25
-36|-34.-32.-29	-26|	0.333333333333
-36|-34.-32.-29	-29|-36	0.666666666667
-29|-36	-27|	1.0
-31|	-29|-31	0.75
-31|	-32|	0.125
-31|	-36|	0.125
-34|-36.-34	-32|	1.0
-34|-32	-36|-34	0.823529411765
-34|-32	-31|	0.176470588235
-34|-27	-32|-34.-27	1.0
-36|-34	-32|-36	0.047619047619
-36|-34	-26|	0.047619047619
-36|-34	-29|-36	0.238095238095
-36|-34	-31|	0.142857142857
-36|-34	-34|-36.-34	1.0
-36|-24	-32|-36	1.0
-29|	-36|-29	0.0909090909091
-29|	-32|-29	0.6
-29|	-31|-29	0.666666666667
-29|	-27|	0.375
-29|	-34|	0.03125
-32|-36	-29|-32	1.0
-32|-34.-27	-36|-32	1.0
-24|	-36|-24	1.0
-36|	-32|-36	1.0
-36|	-24|	0.025641025641
-36|	-26|	0.025641025641
-36|	-34|	0.538461538462
-36|	-29|-36	1.0
-36|	-31|	0.128205128205
-27|-29.-31	-26|	1.0
-31|-29	-32|	0.333333333333
-31|-29	-29|-31.-29	0.5
-26|	-27|-26	1.0
-34|	-32|	0.357142857143
-34|	-36|-34	0.047619047619
-34|	-27|	0.0714285714286
-34|	-31|	0.0714285714286
-36|-32	-29|-36	1.0
-32|	-29|-32	1.0
-32|	-36|-32	1.0
-32|	-31|	0.178571428571
-32|	-34|-32	0.823529411765
-32|-27	-36|-32	0.25
-32|-27	-31|	0.75
