-2|	-3|-2	1.0
-3|	-7|	0.1875
-3|	-5|-3	1.0
-3|	-1|-3	0.75
-3|	0|-3	0.8
-7|	-3|-7	1.0
-7|	-1|-7	1.0
-5|	-2|	0.3
-5|	-3|-5	0.25
-5|	0|-5	1.0
-1|	-7|	0.16666666666666666
-1|	-3|-1	1.0
-1|	0|-1	0.75
-1|	2|-1	0.8
-1|	7|-1	1.0
-1|	12|-1	1.0
0|	-3|	0.043478260869565216
0|	9|	0.043478260869565216
0|	-5|0	1.0
0|	-1|0	0.4
0|	2|0	1.0
0|	4|0	0.8
0|	12|0	1.0
0|	6|0	1.0
4|	9|	0.05
4|	-5|	0.05
4|	0|4	0.5
4|	2|4	0.625
4|	7|4	0.5
4|	5|4	1.0
4|	6|4	0.5
6|	9|	0.16666666666666666
6|	0|6	1.0
6|	2|6	1.0
6|	4|6	1.0
6|	7|6	1.0
2|	-1|	0.05263157894736842
2|	-5|	0.05263157894736842
2|	14|	0.05263157894736842
2|	0|2	0.75
2|	4|2	1.0
2|	7|2	0.5
2|	5|2	0.6666666666666666
11|	14|	0.08333333333333333
11|	8|	0.08333333333333333
11|	2|11	1.0
11|	9|11	0.3333333333333333
11|	12|11	0.6666666666666666
5|	14|	0.07142857142857142
5|	2|5	1.0
5|	4|5	0.2857142857142857
5|	7|5	1.0
5|	9|5	1.0
7|	5|	0.3684210526315789
7|	12|	0.10526315789473684
7|	6|	0.15789473684210525
7|	11|	0.05263157894736842
7|	10|	0.05263157894736842
7|	2|7	1.0
7|	4|7	1.0
7|	9|7	1.0
9|	8|	0.1
9|	7|	0.4
9|	4|9	1.0
9|	5|9	1.0
9|	12|9	0.5
9|	11|9	0.5
9|	10|9	1.0
10|	12|	0.2
10|	7|10	1.0
10|	9|10	0.3333333333333333
14|	12|14	0.25
14|	11|14	1.0
12|	11|	0.3125
12|	17|	0.0625
12|	-5|	0.0625
12|	16|	0.0625
12|	10|	0.1875
12|	14|12	1.0
12|	9|12	1.0
8|	11|	0.6666666666666666
8|	9|8	1.0
17|	11|	1.0
16|	14|	1.0
-3|-7	0|-3	1.0
-3|-2	-5|-3	1.0
-3|-5	-7|	0.75
-3|-5	0|-3	0.25
-3|-1	-1|-3	1.0
-5|-3	-3|-5	1.0
-5|0	0|-5	1.0
0|4	4|0	0.5
0|4	12|0	0.5
0|6	6|0	1.0
0|2	-3|	0.125
0|2	-1|0	0.75
0|2	2|0	0.125
0|-1	9|	0.25
0|-1	-5|0	0.75
0|-5	4|0	1.0
-1|-3	-7|	0.75
-1|-3	2|-1	0.25
-1|-7	2|-1	1.0
0|-3	-1|0.-3	1.0
0|-3	4|0	0.2
-1|0	0|-1	0.4
-1|0	-3|-1	0.4
-1|0	7|-1	0.1
-1|0	12|-1	0.1
2|11	5|2	1.0
2|-1	0|2	0.8
2|-1	7|2	0.2
2|0	-1|	1.0
2|6	14|	1.0
2|5	5|2	1.0
2|4	-5|	0.125
2|4	0|2	0.625
2|4	4|2	0.25
2|7	7|2	1.0
4|6	6|4	1.0
4|5	-5|	0.14285714285714285
4|5	5|4	0.2857142857142857
4|5	2|4	0.5714285714285714
4|0	2|4	0.8
4|0	7|4	0.2
4|2	0|4	1.0
4|7	7|4	1.0
4|9	9|	1.0
7|-1	12|	1.0
7|10	10|	1.0
9|10	7|9.10	1.0
9|10	5|9	0.3333333333333333
9|10	10|9	0.3333333333333333
9|11	8|	0.3333333333333333
9|11	7|9.11	0.5
9|11	11|9	0.3333333333333333
7|2	11|	0.5
7|2	5|	0.5
7|4	6|	0.5
7|4	5|	0.5
7|5	4|7	1.0
7|6	2|7	1.0
5|4	2|5	1.0
5|2	14|	0.3333333333333333
5|2	4|5	0.6666666666666666
5|9	9|5	1.0
14|12	11|14	1.0
12|9	11|	0.5
12|9	10|	0.25
12|9	17|	0.25
12|14	10|	0.25
12|14	11|12.14	1.0
12|14	14|12	0.25
12|-1	16|	1.0
12|0	10|	1.0
12|11	-5|	0.3333333333333333
12|11	9|12	0.6666666666666666
11|9	8|	0.5
11|9	2|11	0.5
11|14	14|	1.0
9|7	5|9	1.0
9|5	7|	1.0
9|8	4|9	1.0
9|12	12|9	1.0
6|0	9|	1.0
6|4	0|6	0.5
6|4	2|6	0.5
10|9	7|10	1.0
-1|0.-3	-3|-1	1.0
7|9.10	9|7	1.0
7|9.11	12|	0.5
7|9.11	4|7	0.5
11|12.14	12|11	1.0
