-1|	0|	1.0
0|	4|	0.09090909090909091
0|	5|	0.06818181818181818
0|	3|0	0.4375
0|	2|0	0.25
0|	1|0	0.8333333333333334
0|	-2|0	0.75
0|	7|0	0.5
0|	-5|0	1.0
1|	3|	0.09090909090909091
1|	0|1	0.5
1|	-2|1	1.0
1|	5|1	1.0
2|	-1|	0.041666666666666664
2|	-2|	0.041666666666666664
2|	4|	0.16666666666666666
2|	7|	0.041666666666666664
2|	11|	0.041666666666666664
2|	0|2	0.2857142857142857
2|	3|2	0.375
2|	5|2	1.0
5|	-2|	0.07692307692307693
5|	4|	0.6153846153846154
5|	1|	0.038461538461538464
5|	8|	0.07692307692307693
5|	0|5	0.5
5|	3|5	0.3333333333333333
4|	5|	0.42857142857142855
4|	0|4	0.5
4|	2|4	0.75
4|	7|4	0.5
-2|	-4|	0.041666666666666664
-2|	2|-2	0.5
-2|	3|-2	0.6666666666666666
-2|	0|-2	0.25
-2|	5|-2	1.0
-2|	-5|-2	1.0
3|	-2|	0.3125
3|	8|	0.020833333333333332
3|	1|	0.0625
3|	2|3	1.0
3|	0|3	0.26666666666666666
3|	5|3	0.3333333333333333
3|	7|3	0.25
3|	4|3	1.0
7|	8|	0.15
7|	12|	0.15
7|	10|	0.1
7|	9|	0.05
7|	3|7	0.25
7|	5|7	0.4
7|	4|7	0.5
-5|	-4|	0.2
-5|	-6|	0.2
-5|	1|	0.2
-5|	3|-5	1.0
-5|	-2|-5	1.0
9|	7|9	0.6666666666666666
8|	9|	0.125
8|	7|8	0.14285714285714285
12|	10|	0.16666666666666666
12|	11|	0.16666666666666666
12|	4|	0.16666666666666666
12|	14|	0.16666666666666666
12|	7|	0.16666666666666666
12|	8|12	1.0
-6|	-5|-6	1.0
-4|	-5|-4	0.5
10|	8|	0.25
10|	11|	0.25
10|	9|	0.25
10|	15|	0.25
11|	12|	0.75
11|	10|	0.25
14|	11|	1.0
15|	19|	0.5
15|	3|	0.5
19|	15|	1.0
0|1	5|0.1	1.0
0|1	3|0	0.5
0|1	-2|0	0.125
0|1	1|0	0.125
0|1	-5|0	0.125
0|2	5|	0.2857142857142857
0|2	4|	0.14285714285714285
0|2	7|0	0.2857142857142857
0|2	2|0	0.2857142857142857
3|0	1|	0.125
3|0	-2|	0.1875
3|0	0|3.0	0.42857142857142855
3|0	5|3	0.0625
3|0	2|3	0.125
3|0	4|3	0.0625
0|5	4|	0.5
0|5	3|0.5	1.0
0|4	4|	0.3333333333333333
0|4	3|0.4	1.0
0|4	2|0	0.5
2|-2	-2|	0.5
2|-2	5|2	0.5
2|4	11|	0.125
2|4	7|	0.125
2|4	0|2	0.75
2|3	3|2	1.0
2|0	4|	0.5
2|0	-1|	0.125
2|0	3|2	0.25
2|0	0|2	0.125
0|3	2|0.3	1.0
0|3	1|0	0.26666666666666666
0|3	-2|0	0.13333333333333333
0|3	3|0	0.4666666666666667
3|7	8|	0.25
3|7	0|3	0.25
3|7	5|3	0.25
3|7	2|3	0.25
1|0	0|1.0	0.2
1|0	5|1	0.16666666666666666
3|2	-2|	0.125
3|2	2|3	0.375
3|2	5|3	0.125
3|2	0|3	0.375
3|-2	-2|	0.6666666666666666
3|-2	1|	0.06666666666666667
3|-2	7|3	0.13333333333333333
3|-2	0|3	0.13333333333333333
3|-5	7|3	1.0
5|3	-2|	0.3333333333333333
5|3	3|5.3	1.0
5|3	0|5	0.3333333333333333
-2|-5	2|-2	1.0
3|5	-2|3.5	1.0
3|5	7|3	0.3333333333333333
3|5	0|3	0.3333333333333333
-2|0	-4|	0.25
-2|0	3|-2.0	0.6666666666666666
0|-2	-2|0.-2	1.0
0|-2	1|0	0.25
0|-2	3|0	0.5
-2|1	0|-2	1.0
7|0	9|	0.5
7|0	3|7	0.5
7|4	12|	0.5
7|4	5|7	0.5
7|9	12|	0.3333333333333333
7|9	4|7	0.6666666666666666
7|8	8|	0.14285714285714285
7|8	10|	0.2857142857142857
7|8	3|7	0.42857142857142855
7|8	5|7	0.14285714285714285
7|3	8|	0.5
7|3	12|	0.25
7|3	5|7	0.25
8|12	9|	1.0
5|2	3|5	1.0
5|1	1|	1.0
5|7	8|	0.4
5|7	4|	0.6
5|-2	-2|	1.0
-5|-2	-2|-5	1.0
-5|-6	1|	1.0
-5|0	-4|	1.0
-5|-4	-6|	0.5
-5|-4	3|-5	0.5
4|7	5|	0.5
4|7	7|4	0.5
4|3	0|4	1.0
0|3.0	1|0	0.42857142857142855
0|3.0	-2|0	0.2857142857142857
0|3.0	3|0	0.2857142857142857
2|0.3	3|2	1.0
0|1.0	3|0.1.0	0.3333333333333333
0|1.0	-5|0	0.2
0|1.0	5|0.1	0.2
3|0.4	4|3	1.0
3|0.5	1|	1.0
3|5.3	7|3	1.0
-2|3.5	-5|-2	1.0
3|-2.0	1|	0.3333333333333333
3|-2.0	-2|3.-2.0	0.5
-2|0.-2	-4|	1.0
5|0.1	3|5	1.0
3|0.1.0	1|	0.3333333333333333
3|0.1.0	5|3	0.3333333333333333
3|0.1.0	2|3	0.3333333333333333
-2|3.-2.0	5|-2	0.5
-2|3.-2.0	0|-2	0.5
